epoch,step,train_acc,train_loss,val_acc,val_loss
0,49,0.1875,2.702268600463867,,
0,81,,,0.0764525979757309,2.704909563064575
1,99,0.0625,2.6972720623016357,,
1,149,0.0625,2.6811435222625732,,
1,163,,,0.08562690764665604,2.7642757892608643
