Final Accuracy,epoch,step,test_acc,test_loss,train_acc,train_loss,val_acc,val_loss
,0,49,,,0.125,2.7050817012786865,,
,0,81,,,,,0.10091742873191833,2.6987643241882324
,1,99,,,0.1875,2.5731489658355713,,
,1,149,,,0.0625,2.699906826019287,,
,1,163,,,,,0.08868501335382462,2.824002504348755
,2,199,,,0.0625,2.642091751098633,,
,2,245,,,,,0.10397553443908691,2.741035223007202
,3,249,,,0.25,2.559657573699951,,
,3,299,,,0.0625,2.6348249912261963,,
,3,327,,,,,0.1070336401462555,2.8688721656799316
,4,349,,,0.1875,2.3326170444488525,,
,4,399,,,0.1875,2.565985918045044,,
,4,409,,,,,0.09480122476816177,3.0661065578460693
,5,449,,,0.4375,2.0377092361450195,,
,5,491,,,,,0.10397553443908691,3.2793936729431152
,6,499,,,0.375,2.30678129196167,,
,6,549,,,0.3125,2.2243711948394775,,
,6,573,,,,,0.1070336401462555,3.3991546630859375
,7,599,,,0.125,2.3252875804901123,,
,7,649,,,0.25,2.0919463634490967,,
,7,655,,,,,0.1070336401462555,3.669271469116211
,8,699,,,0.1875,2.3841888904571533,,
,8,737,,,,,0.10397553443908691,3.8183958530426025
,9,749,,,0.1875,2.3701939582824707,,
,9,799,,,0.3125,2.272573232650757,,
,9,819,,,,,0.1070336401462555,4.295066833496094
,10,849,,,0.375,2.211254835128784,,
,10,899,,,0.3125,2.070004463195801,,
,10,901,,,,,0.11009174585342407,4.4328227043151855
,11,949,,,0.125,2.2976014614105225,,
,11,983,,,,,0.11926605552434921,4.863292217254639
,12,999,,,0.4375,1.879942536354065,,
,12,1049,,,0.1875,2.3551464080810547,,
,12,1065,,,,,0.10091742873191833,5.067215442657471
,13,1099,,,0.4375,1.7100658416748047,,
,13,1147,,,,,0.11009174585342407,5.569879531860352
,14,1149,,,0.4375,1.6973193883895874,,
,14,1199,,,0.25,1.9978423118591309,,
,14,1229,,,,,0.11620794981718063,6.141786575317383
,15,1249,,,0.5625,1.7264461517333984,,
,15,1299,,,0.5625,1.6921861171722412,,
,15,1311,,,,,0.09480122476816177,6.487147331237793
,16,1349,,,0.4375,1.4562081098556519,,
,16,1393,,,,,0.11314984411001205,7.372405529022217
,17,1399,,,0.6875,1.2137763500213623,,
,17,1449,,,0.625,1.108127236366272,,
,17,1475,,,,,0.11620794981718063,7.517553329467773
,18,1499,,,0.625,1.3432942628860474,,
,18,1549,,,0.4375,2.696540117263794,,
,18,1557,,,,,0.07951070368289948,7.107177734375
,19,1599,,,0.625,1.3859862089157104,,
,19,1639,,,,,0.11314984411001205,7.915464401245117
,20,1649,,,0.375,1.6430857181549072,,
,20,1699,,,0.75,1.3718072175979614,,
,20,1721,,,,,0.10091742873191833,8.076911926269531
,21,1749,,,0.625,1.0491962432861328,,
,21,1799,,,0.6875,1.3278731107711792,,
,21,1803,,,,,0.10397553443908691,8.649877548217773
,22,1849,,,0.75,0.9366415143013,,
,22,1885,,,,,0.12232416123151779,9.510527610778809
,23,1899,,,0.6875,1.2075294256210327,,
,23,1949,,,0.625,1.2645623683929443,,
,23,1967,,,,,0.08868501335382462,9.866842269897461
,24,1999,,,0.5625,1.883194923400879,,
,24,2049,,,0.6000000238418579,1.35518217086792,,
,24,2049,,,,,0.0917431190609932,10.067618370056152
,25,2099,,,0.75,0.8741094470024109,,
,25,2131,,,,,0.09785933047533035,10.060223579406738
,26,2149,,,0.75,0.8273041248321533,,
,26,2199,,,0.75,1.0851945877075195,,
,26,2213,,,,,0.11314984411001205,11.01821231842041
,27,2249,,,0.75,1.0731637477874756,,
,27,2295,,,,,0.10091742873191833,11.817523956298828
,28,2299,,,0.625,1.0905332565307617,,
,28,2349,,,0.875,0.3337864279747009,,
,28,2377,,,,,0.1070336401462555,12.596054077148438
,29,2399,,,0.8125,0.5464805960655212,,
,29,2449,,,0.8125,0.47948992252349854,,
,29,2459,,,,,0.10091742873191833,13.03216552734375
,30,2499,,,0.6875,0.9884177446365356,,
,30,2541,,,,,0.10091742873191833,12.202856063842773
,31,2549,,,0.75,0.6642104387283325,,
,31,2599,,,0.875,0.5067474246025085,,
,31,2623,,,,,0.11314984411001205,12.324803352355957
,32,2649,,,0.6875,0.8236537575721741,,
,32,2699,,,0.75,0.5972251892089844,,
,32,2705,,,,,0.09480122476816177,13.08940601348877
,33,2749,,,0.6875,2.1533432006835938,,
,33,2787,,,,,0.09785933047533035,13.033156394958496
,34,2799,,,0.75,0.7622391581535339,,
,34,2849,,,0.875,0.6985969543457031,,
,34,2869,,,,,0.09785933047533035,13.735655784606934
,35,2899,,,0.75,0.6792105436325073,,
,35,2949,,,0.75,0.7066648602485657,,
,35,2951,,,,,0.11926605552434921,13.424610137939453
,36,2999,,,0.8125,0.7079106569290161,,
,36,3033,,,,,0.1070336401462555,14.082799911499023
,37,3049,,,0.8125,0.505698561668396,,
,37,3099,,,0.875,0.6372700333595276,,
,37,3115,,,,,0.11926605552434921,13.72401237487793
,38,3149,,,0.8125,1.1753160953521729,,
,38,3197,,,,,0.1070336401462555,14.620560646057129
,39,3199,,,0.8125,0.890855610370636,,
,39,3249,,,0.8125,0.5133324861526489,,
,39,3279,,,,,0.11314984411001205,15.160014152526855
,40,3299,,,0.75,0.83185875415802,,
,40,3349,,,0.875,0.42425641417503357,,
,40,3361,,,,,0.11314984411001205,15.565995216369629
,41,3399,,,0.9375,0.2713488042354584,,
,41,3443,,,,,0.0917431190609932,16.449607849121094
,42,3449,,,0.75,0.7844427227973938,,
,42,3499,,,0.9375,0.27203160524368286,,
,42,3525,,,,,0.11314984411001205,17.243370056152344
,43,3549,,,0.9375,0.3302626609802246,,
,43,3599,,,0.875,0.42795392870903015,,
,43,3607,,,,,0.1070336401462555,17.87716293334961
,44,3649,,,0.8125,0.5495591759681702,,
,44,3689,,,,,0.09785933047533035,18.4067440032959
,45,3699,,,0.9375,0.49836456775665283,,
,45,3749,,,0.9375,0.34552064538002014,,
,45,3771,,,,,0.11009174585342407,18.81162452697754
,46,3799,,,0.75,0.8368918895721436,,
,46,3849,,,0.875,0.36015087366104126,,
,46,3853,,,,,0.10397553443908691,19.243574142456055
,47,3899,,,0.9375,0.21197327971458435,,
,47,3935,,,,,0.11620794981718063,19.896963119506836
,48,3949,,,0.9375,0.2768377661705017,,
,48,3999,,,0.875,0.5514034628868103,,
,48,4017,,,,,0.11620794981718063,19.671781539916992
,49,4049,,,0.9375,0.1492084264755249,,
,49,4099,,,1.0,0.05124606564640999,,
,49,4099,,,,,0.12538225948810577,18.984573364257812
,50,4149,,,0.75,3.045266628265381,,
,50,4181,,,,,0.12538225948810577,17.90505599975586
,51,4199,,,0.875,0.3569357991218567,,
,51,4249,,,0.9375,0.43180111050605774,,
,51,4263,,,,,0.1070336401462555,18.326168060302734
,52,4299,,,0.9375,0.3044159412384033,,
,52,4345,,,,,0.11009174585342407,17.70551109313965
,53,4349,,,0.8125,0.6343626379966736,,
,53,4399,,,0.9375,0.47051572799682617,,
,53,4427,,,,,0.1070336401462555,18.33646011352539
,54,4449,,,1.0,0.27555325627326965,,
,54,4499,,,0.875,0.4053533971309662,,
,54,4509,,,,,0.10397553443908691,19.93865966796875
,55,4549,,,0.9375,0.15119971334934235,,
,55,4591,,,,,0.11926605552434921,19.66724967956543
,56,4599,,,0.9375,0.2836563289165497,,
,56,4649,,,0.875,0.423130601644516,,
,56,4673,,,,,0.12232416123151779,22.85927963256836
,57,4699,,,0.875,0.2956819534301758,,
,57,4749,,,0.9375,0.46471601724624634,,
,57,4755,,,,,0.11314984411001205,20.312788009643555
,58,4799,,,0.875,0.5130334496498108,,
,58,4837,,,,,0.11009174585342407,19.441102981567383
,59,4849,,,0.875,0.39192506670951843,,
,59,4899,,,0.9375,0.19255636632442474,,
,59,4919,,,,,0.10397553443908691,20.803621292114258
,60,4949,,,1.0,0.1207808330655098,,
,60,4999,,,0.8125,0.6232175230979919,,
,60,5001,,,,,0.11926605552434921,21.368749618530273
,61,5049,,,0.8125,0.4433830976486206,,
,61,5083,,,,,0.11314984411001205,22.076501846313477
,62,5099,,,0.9375,0.5055454969406128,,
,62,5149,,,1.0,0.09575645625591278,,
,62,5165,,,,,0.11314984411001205,22.75320816040039
,63,5199,,,1.0,0.01229285728186369,,
,63,5247,,,,,0.11009174585342407,22.97296142578125
,64,5249,,,0.875,0.39345550537109375,,
,64,5299,,,0.9375,0.3034181594848633,,
,64,5329,,,,,0.11620794981718063,23.630428314208984
,65,5349,,,0.9375,0.282463014125824,,
,65,5399,,,0.8125,0.4958837330341339,,
,65,5411,,,,,0.11009174585342407,24.067171096801758
,66,5449,,,0.75,0.6811332702636719,,
,66,5493,,,,,0.11314984411001205,24.454286575317383
,67,5499,,,0.8125,0.5052742958068848,,
,67,5549,,,0.8125,0.5241042375564575,,
,67,5575,,,,,0.10397553443908691,25.087894439697266
,68,5599,,,0.75,0.8237984776496887,,
,68,5649,,,1.0,0.010922136716544628,,
