Final Accuracy,epoch,step,test_acc,test_loss,train_acc,train_loss,val_acc,val_loss
,0,49,,,0.0625,2.6354098320007324,,
,0,80,,,,,0.23765432834625244,2.3292124271392822
,1,99,,,0.3125,1.59829580783844,,
,1,149,,,0.375,1.818708896636963,,
,1,161,,,,,0.4506172835826874,1.7363972663879395
,2,199,,,0.5625,1.5881316661834717,,
,2,242,,,,,0.5709876418113708,1.4617373943328857
,3,249,,,0.4375,1.336988091468811,,
,3,299,,,0.6875,0.8343794345855713,,
,3,323,,,,,0.6265432238578796,1.2550946474075317
,4,349,,,0.75,0.9429950714111328,,
,4,399,,,0.6875,0.8610163331031799,,
,4,404,,,,,0.6851851940155029,1.22243070602417
,5,449,,,0.6875,0.8519291281700134,,
,5,485,,,,,0.7160493731498718,1.0784525871276855
,6,499,,,0.75,0.5255310535430908,,
,6,549,,,0.875,0.4348277449607849,,
,6,566,,,,,0.6913580298423767,1.1819522380828857
,7,599,,,0.875,0.45513057708740234,,
,7,647,,,,,0.709876537322998,1.3373273611068726
,8,649,,,0.8125,0.403852641582489,,
,8,699,,,0.75,0.3938545882701874,,
,8,728,,,,,0.7253086566925049,1.0557368993759155
,9,749,,,0.8125,0.4370241165161133,,
,9,799,,,0.875,0.340559184551239,,
,9,809,,,,,0.75,1.0074338912963867
,10,849,,,0.625,0.5957373380661011,,
,10,890,,,,,0.7067901492118835,1.6089147329330444
,11,899,,,0.875,1.0710748434066772,,
,11,949,,,0.9375,0.2673281729221344,,
,11,971,,,,,0.7746913433074951,1.0521013736724854
,12,999,,,0.875,0.32291167974472046,,
,12,1049,,,0.8125,0.3560718894004822,,
,12,1052,,,,,0.8086419701576233,0.9806469678878784
,13,1099,,,0.9375,0.16774040460586548,,
,13,1133,,,,,0.8117284178733826,1.0149285793304443
,14,1149,,,0.9375,0.12442280352115631,,
,14,1199,,,0.8125,0.3779491186141968,,
,14,1214,,,,,0.8179012537002563,1.080090880393982
,15,1249,,,1.0,0.03515702486038208,,
,15,1295,,,,,0.8086419701576233,1.3614956140518188
,16,1299,,,0.875,0.31236010789871216,,
,16,1349,,,0.9375,0.26793280243873596,,
,16,1376,,,,,0.8364197611808777,0.9797831177711487
,17,1399,,,0.9375,0.14765673875808716,,
,17,1449,,,0.875,0.3082737624645233,,
,17,1457,,,,,0.8055555820465088,1.145348072052002
,18,1499,,,0.9375,0.2661058008670807,,
,18,1538,,,,,0.8302469253540039,1.1226564645767212
,19,1549,,,0.9375,0.1214018389582634,,
,19,1599,,,0.9375,0.3492852449417114,,
,19,1619,,,,,0.7870370149612427,1.173588752746582
0.06666667014360428,20,1620,0.06666667014360428,18.45647430419922,,,,
