Final Accuracy,epoch,step,test_acc,test_loss,train_acc,train_loss,val_acc,val_loss
,0,49,,,0.0625,2.7143492698669434,,
,0,80,,,,,0.07098765671253204,2.706878423690796
,1,99,,,0.1875,2.6124556064605713,,
,1,149,,,0.0625,2.776592969894409,,
,1,161,,,,,0.0833333358168602,2.7330548763275146
,2,199,,,0.125,2.5435385704040527,,
,2,242,,,,,0.10185185074806213,2.7943837642669678
,3,249,,,0.25,2.4728236198425293,,
,3,299,,,0.125,2.727339506149292,,
,3,323,,,,,0.09876543283462524,2.951336145401001
,4,349,,,0.25,2.2961301803588867,,
,4,399,,,0.0625,2.6615259647369385,,
,4,404,,,,,0.10802469402551651,3.210287570953369
,5,449,,,0.125,2.5283870697021484,,
,5,485,,,,,0.1111111119389534,3.4124348163604736
,6,499,,,0.3125,2.5205233097076416,,
,6,549,,,0.1875,2.350886344909668,,
,6,566,,,,,0.10802469402551651,3.5336854457855225
,7,599,,,0.25,2.129380941390991,,
,7,647,,,,,0.09567901492118835,3.9561123847961426
,8,649,,,0.25,2.4395785331726074,,
,8,699,,,0.3125,2.0043232440948486,,
,8,728,,,,,0.09876543283462524,4.399292469024658
,9,749,,,0.5,1.7204489707946777,,
,9,799,,,0.1875,2.240840435028076,,
,9,809,,,,,0.12345679104328156,4.863863945007324
,10,849,,,0.5,1.8271527290344238,,
,10,890,,,,,0.1419753134250641,6.018397331237793
,11,899,,,0.25,2.065002202987671,,
,11,949,,,0.5625,1.9283572435379028,,
,11,971,,,,,0.11728394776582718,6.023001194000244
,12,999,,,0.4375,1.7782875299453735,,
,12,1049,,,0.1875,2.1411051750183105,,
,12,1052,,,,,0.13271604478359222,7.282684803009033
,13,1099,,,0.4375,1.611423134803772,,
,13,1133,,,,,0.13271604478359222,8.12486743927002
,14,1149,,,0.375,2.184987783432007,,
,14,1199,,,0.625,1.2687442302703857,,
,14,1214,,,,,0.08641975373029709,7.5452656745910645
,15,1249,,,0.5,1.6792354583740234,,
,15,1295,,,,,0.1419753134250641,8.117290496826172
,16,1299,,,0.625,1.313906192779541,,
,16,1349,,,0.625,1.2525657415390015,,
,16,1376,,,,,0.15432098507881165,9.20106029510498
,17,1399,,,0.8125,1.0909309387207031,,
,17,1449,,,0.625,1.1427791118621826,,
,17,1457,,,,,0.1358024626970291,9.777286529541016
,18,1499,,,0.625,1.2017865180969238,,
,18,1538,,,,,0.13271604478359222,10.630017280578613
,19,1549,,,0.75,0.7508493065834045,,
,19,1599,,,0.625,1.2120543718338013,,
,19,1619,,,,,0.15123456716537476,10.927973747253418
0.0,20,1620,0.0,6.035501003265381,,,,
