epoch,step,train_acc,train_loss,val_acc,val_loss
0,49,0.1875,2.6988978385925293,,
0,81,,,0.06727828830480576,2.709529399871826
1,99,0.0625,2.7169673442840576,,
1,149,0.0625,2.6497669219970703,,
1,163,,,0.08868501335382462,2.755457639694214
