Final Accuracy,epoch,step,test_acc,test_loss,train_acc,train_loss,val_acc,val_loss
,0,49,,,0.125,2.690429210662842,,
,0,80,,,,,0.0833333358168602,2.701449394226074
,1,99,,,0.125,2.7405505180358887,,
,1,149,,,0.0625,2.5977203845977783,,
,1,161,,,,,0.08024691045284271,2.7257156372070312
,2,199,,,0.0,2.8024702072143555,,
,2,242,,,,,0.08024691045284271,2.742657423019409
,3,249,,,0.125,2.3978981971740723,,
,3,299,,,0.25,2.6163041591644287,,
,3,323,,,,,0.09876543283462524,2.827193260192871
,4,349,,,0.25,2.523930311203003,,
,4,399,,,0.125,2.5857927799224854,,
,4,404,,,,,0.10185185074806213,2.8804733753204346
,5,449,,,0.0625,2.572178840637207,,
,5,485,,,,,0.09876543283462524,3.122798442840576
,6,499,,,0.0625,2.5501768589019775,,
,6,549,,,0.3125,2.4417152404785156,,
,6,566,,,,,0.12037037312984467,3.25148868560791
,7,599,,,0.3125,2.208122730255127,,
,7,647,,,,,0.1111111119389534,3.519843101501465
,8,649,,,0.5,2.066394329071045,,
,8,699,,,0.0625,2.2872233390808105,,
,8,728,,,,,0.12345679104328156,3.842026710510254
,9,749,,,0.375,2.1173079013824463,,
,9,799,,,0.25,1.943152666091919,,
,9,809,,,,,0.10802469402551651,4.404753684997559
,10,849,,,0.25,2.1611034870147705,,
,10,890,,,,,0.12654320895671844,4.6817755699157715
,11,899,,,0.5625,1.8328334093093872,,
,11,949,,,0.5625,1.442899465560913,,
,11,971,,,,,0.12345679104328156,4.726027965545654
,12,999,,,0.5625,1.3007599115371704,,
,12,1049,,,0.4375,1.8009216785430908,,
,12,1052,,,,,0.1358024626970291,5.637545585632324
,13,1099,,,0.25,2.114335060119629,,
,13,1133,,,,,0.1388888955116272,5.562231540679932
,14,1149,,,0.5625,1.744496464729309,,
,14,1199,,,0.5625,1.509358525276184,,
,14,1214,,,,,0.12654320895671844,5.991095066070557
,15,1249,,,0.625,1.4577291011810303,,
,15,1295,,,,,0.10802469402551651,6.806196689605713
,16,1299,,,0.625,0.9573202133178711,,
