Final Accuracy,epoch,step,test_acc,test_loss,train_acc,train_loss,val_acc,val_loss
,0,49,,,0.0,2.702669143676758,,
,0,81,,,,,0.0917431190609932,2.7134389877319336
,1,99,,,0.125,2.685485363006592,,
,1,149,,,0.1875,2.672213554382324,,
,1,163,,,,,0.08868501335382462,2.7264039516448975
,2,199,,,0.1875,2.573507070541382,,
,2,245,,,,,0.10397553443908691,2.7300562858581543
,3,249,,,0.125,2.7227823734283447,,
,3,299,,,0.0625,2.5467700958251953,,
,3,327,,,,,0.11009174585342407,2.815098524093628
,4,349,,,0.0,2.748279571533203,,
,4,399,,,0.125,2.472594738006592,,
,4,409,,,,,0.12844036519527435,2.9550375938415527
,5,449,,,0.125,2.2735214233398438,,
,5,491,,,,,0.11620794981718063,2.993929624557495
,6,499,,,0.3125,1.9608092308044434,,
,6,549,,,0.1875,2.2526438236236572,,
,6,573,,,,,0.11620794981718063,3.167478322982788
,7,599,,,0.1875,2.5897200107574463,,
,7,649,,,0.1875,2.3805160522460938,,
,7,655,,,,,0.12538225948810577,3.383617639541626
,8,699,,,0.1875,2.5875704288482666,,
,8,737,,,,,0.13149847090244293,3.715893030166626
,9,749,,,0.25,2.159688711166382,,
,9,799,,,0.25,2.1358604431152344,,
,9,819,,,,,0.1376146823167801,3.825542449951172
,10,849,,,0.5625,1.5698026418685913,,
,10,899,,,0.625,1.3898682594299316,,
,10,901,,,,,0.1498470902442932,4.328462600708008
,11,949,,,0.5625,1.4628146886825562,,
,11,983,,,,,0.1345565766096115,4.401158332824707
,12,999,,,0.3125,1.6625980138778687,,
,12,1049,,,0.5,1.693974256515503,,
,12,1065,,,,,0.14067278802394867,5.051392078399658
,13,1099,,,0.375,1.8280659914016724,,
,13,1147,,,,,0.1498470902442932,5.160458087921143
,14,1149,,,0.625,1.35785973072052,,
,14,1199,,,0.5,1.5618976354599,,
,14,1229,,,,,0.1651376187801361,5.580991744995117
,15,1249,,,0.5,1.5413404703140259,,
,15,1299,,,0.5625,1.5669474601745605,,
,15,1311,,,,,0.1681957244873047,6.186892509460449
,16,1349,,,0.5625,1.4867669343948364,,
,16,1393,,,,,0.17431192100048065,5.972909450531006
,17,1399,,,0.625,1.3284000158309937,,
,17,1449,,,0.6875,1.228131890296936,,
,17,1475,,,,,0.1651376187801361,6.525815963745117
,18,1499,,,0.625,1.339818000793457,,
,18,1549,,,0.625,1.940653920173645,,
,18,1557,,,,,0.1681957244873047,7.100334167480469
,19,1599,,,0.75,0.9492765665054321,,
,19,1639,,,,,0.14678898453712463,7.7511796951293945
,20,1649,,,0.625,1.0400047302246094,,
,20,1699,,,0.5625,1.3632633686065674,,
,20,1721,,,,,0.14067278802394867,8.110703468322754
,21,1749,,,0.5,1.445645809173584,,
,21,1799,,,0.8125,0.982907235622406,,
,21,1803,,,,,0.1345565766096115,8.68011474609375
,22,1849,,,0.5625,1.438132643699646,,
,22,1885,,,,,0.1376146823167801,8.7388277053833
,23,1899,,,0.5625,2.3376193046569824,,
,23,1949,,,0.5625,1.3045985698699951,,
,23,1967,,,,,0.14067278802394867,8.867456436157227
,24,1999,,,0.6875,0.9842847585678101,,
,24,2049,,,0.699999988079071,1.1134922504425049,,
,24,2049,,,,,0.16207951307296753,9.780784606933594
,25,2099,,,0.875,0.6590386033058167,,
,25,2131,,,,,0.1498470902442932,10.903438568115234
,26,2149,,,0.75,0.8949780464172363,,
,26,2199,,,0.9375,0.42544546723365784,,
,26,2213,,,,,0.1376146823167801,10.544990539550781
,27,2249,,,0.8125,0.754024863243103,,
,27,2295,,,,,0.16207951307296753,10.884881019592285
,28,2299,,,0.8125,0.5505947470664978,,
,28,2349,,,0.875,0.4474349021911621,,
,28,2377,,,,,0.1498470902442932,12.59814453125
,29,2399,,,0.75,0.7959160804748535,,
,29,2449,,,0.75,0.8837164640426636,,
,29,2459,,,,,0.1345565766096115,13.089038848876953
,30,2499,,,0.75,2.565049648284912,,
,30,2541,,,,,0.14067278802394867,13.072105407714844
,31,2549,,,0.625,1.0101711750030518,,
,31,2599,,,0.6875,0.9905728101730347,,
,31,2623,,,,,0.14067278802394867,11.78411865234375
,32,2649,,,0.625,1.213507056236267,,
,32,2699,,,0.6875,1.0025315284729004,,
,32,2705,,,,,0.14678898453712463,11.41347885131836
,33,2749,,,0.9375,0.5169459581375122,,
,33,2787,,,,,0.13149847090244293,11.283305168151855
,34,2799,,,0.875,0.5481163859367371,,
,34,2849,,,0.875,0.6232237815856934,,
,34,2869,,,,,0.1376146823167801,11.790460586547852
,35,2899,,,0.75,0.8233441710472107,,
,35,2949,,,0.6875,1.0495285987854004,,
,35,2951,,,,,0.12538225948810577,12.846962928771973
,36,2999,,,0.875,0.5423619747161865,,
,36,3033,,,,,0.1345565766096115,13.16611099243164
,37,3049,,,0.8125,0.6472460031509399,,
,37,3099,,,0.75,0.6969094276428223,,
,37,3115,,,,,0.14067278802394867,14.207144737243652
,38,3149,,,0.9375,0.2536502182483673,,
,38,3197,,,,,0.1376146823167801,14.408459663391113
,39,3199,,,0.875,0.5392433404922485,,
,39,3249,,,0.6875,0.9671617746353149,,
,39,3279,,,,,0.13149847090244293,15.16195297241211
,40,3299,,,0.75,0.7869279980659485,,
,40,3349,,,0.875,0.30894285440444946,,
,40,3361,,,,,0.12844036519527435,15.511874198913574
,41,3399,,,0.875,0.7297846674919128,,
,41,3443,,,,,0.12538225948810577,16.0692138671875
,42,3449,,,0.8125,0.7831199169158936,,
,42,3499,,,0.875,0.3771454393863678,,
,42,3525,,,,,0.13149847090244293,17.21636962890625
,43,3549,,,0.8125,0.549471378326416,,
,43,3599,,,0.6875,1.0532468557357788,,
,43,3607,,,,,0.1498470902442932,16.1909236907959
,44,3649,,,0.875,0.6728401780128479,,
,44,3689,,,,,0.14373089373111725,15.030304908752441
,45,3699,,,0.75,0.7026640176773071,,
,45,3749,,,0.875,0.4830799996852875,,
,45,3771,,,,,0.1376146823167801,14.017934799194336
,46,3799,,,0.8125,1.0831365585327148,,
,46,3849,,,0.8125,0.6422664523124695,,
,46,3853,,,,,0.1345565766096115,15.403435707092285
,47,3899,,,0.8125,0.6416547894477844,,
,47,3935,,,,,0.14678898453712463,14.989645957946777
,48,3949,,,0.625,0.9992585182189941,,
,48,3999,,,0.875,0.4074716567993164,,
,48,4017,,,,,0.14678898453712463,15.032422065734863
,49,4049,,,1.0,0.15281040966510773,,
,49,4099,,,1.0,0.09637545049190521,,
,49,4099,,,,,0.12538225948810577,15.79655647277832
0.7274954319000244,50,4100,0.7274954319000244,3.5162110328674316,,,,
