epoch,step,train_acc,train_loss,val_acc,val_loss
0,49,0.0,2.7311954498291016,,
0,80,,,0.08641975373029709,2.694578170776367
1,99,0.0625,2.658017635345459,,
1,149,0.125,2.7020273208618164,,
1,161,,,0.09259258955717087,2.7038955688476562
2,199,0.1875,2.624051809310913,,
2,242,,,0.12037037312984467,2.7421629428863525
3,249,0.0625,2.6699397563934326,,
3,299,0.0625,2.6381609439849854,,
