Final Accuracy,epoch,step,test_acc,test_loss,train_acc,train_loss,val_acc,val_loss
,0,49,,,0.125,2.740539073944092,,
,0,80,,,,,0.2993827164173126,2.2212393283843994
,1,99,,,0.375,1.9095677137374878,,
,1,149,,,0.4375,1.8372819423675537,,
,1,161,,,,,0.5061728358268738,1.6760640144348145
,2,199,,,0.5625,1.570688247680664,,
,2,242,,,,,0.5864197611808777,1.3170298337936401
,3,249,,,0.75,0.9282137751579285,,
,3,299,,,0.6875,1.0194216966629028,,
,3,323,,,,,0.6327160596847534,1.1922612190246582
,4,349,,,0.6875,0.8351107239723206,,
,4,399,,,0.625,0.997226357460022,,
,4,404,,,,,0.6697530746459961,1.023362159729004
,5,449,,,0.8125,0.41665852069854736,,
,5,485,,,,,0.6635802388191223,1.3590108156204224
,6,499,,,0.6875,0.7206023931503296,,
,6,549,,,0.6875,0.7400106191635132,,
,6,566,,,,,0.75,0.8860061764717102
,7,599,,,0.8125,0.6531977653503418,,
,7,647,,,,,0.7685185074806213,0.9252644181251526
,8,649,,,0.9375,0.33834147453308105,,
,8,699,,,0.8125,0.5025280117988586,,
,8,728,,,,,0.7993826866149902,0.7244744300842285
,9,749,,,0.8125,0.2885136008262634,,
,9,799,,,1.0,0.07127241045236588,,
,9,809,,,,,0.7777777910232544,0.9191970825195312
0.06666667014360428,10,810,0.06666667014360428,13.452413558959961,,,,
