epoch,step,train_acc,train_loss,val_acc,val_loss
0,49,0.0625,2.731044292449951,,
0,80,,,0.05246913433074951,2.7008354663848877
1,99,0.125,2.7565066814422607,,
1,149,0.125,2.524721384048462,,
1,161,,,0.09259258955717087,2.709341526031494
