Final Accuracy,epoch,step,test_acc,test_loss,train_acc,train_loss,val_acc,val_loss
,0,49,,,0.0,2.7512705326080322,,
,0,80,,,,,0.05864197388291359,2.722900629043579
,1,99,,,0.0625,2.6513655185699463,,
,1,149,,,0.0,2.671191692352295,,
,1,161,,,,,0.07407407462596893,2.7526700496673584
,2,199,,,0.1875,2.6304261684417725,,
,2,242,,,,,0.0833333358168602,2.8122854232788086
,3,249,,,0.1875,2.6025888919830322,,
,3,299,,,0.0,2.6842947006225586,,
,3,323,,,,,0.08024691045284271,2.8456194400787354
,4,349,,,0.1875,2.584575653076172,,
,4,399,,,0.125,2.644843578338623,,
,4,404,,,,,0.09259258955717087,3.0246450901031494
,5,449,,,0.25,2.276024580001831,,
,5,485,,,,,0.10185185074806213,3.1332011222839355
,6,499,,,0.0625,2.484651565551758,,
,6,549,,,0.25,2.4392895698547363,,
,6,566,,,,,0.08024691045284271,3.3812501430511475
,7,599,,,0.3125,1.8856358528137207,,
,7,647,,,,,0.12037037312984467,3.746807813644409
,8,649,,,0.375,1.8932090997695923,,
,8,699,,,0.25,2.1637370586395264,,
,8,728,,,,,0.10185185074806213,4.056401252746582
,9,749,,,0.4375,1.7235033512115479,,
,9,799,,,0.1875,2.1313118934631348,,
,9,809,,,,,0.10493826866149902,4.211392402648926
,10,849,,,0.5,1.6182588338851929,,
,10,890,,,,,0.08950617164373398,4.52545690536499
,11,899,,,0.375,2.161128044128418,,
,11,949,,,0.4375,1.7046996355056763,,
,11,971,,,,,0.10493826866149902,4.649596214294434
,12,999,,,0.5,1.4389445781707764,,
,12,1049,,,0.25,2.0387110710144043,,
,12,1052,,,,,0.10185185074806213,5.1580963134765625
,13,1099,,,0.4375,1.7158933877944946,,
,13,1133,,,,,0.1111111119389534,5.5327301025390625
,14,1149,,,0.5625,1.308964490890503,,
,14,1199,,,0.5625,1.2428855895996094,,
,14,1214,,,,,0.09567901492118835,6.46979284286499
,15,1249,,,0.4375,1.6437798738479614,,
,15,1295,,,,,0.0833333358168602,5.967162132263184
,16,1299,,,0.5,1.7814428806304932,,
,16,1349,,,0.375,1.9829723834991455,,
,16,1376,,,,,0.09567901492118835,6.8985748291015625
,17,1399,,,0.6875,1.0526014566421509,,
,17,1449,,,0.5625,1.3030332326889038,,
,17,1457,,,,,0.09567901492118835,6.211209297180176
,18,1499,,,0.375,1.879309892654419,,
,18,1538,,,,,0.11728394776582718,6.891664981842041
,19,1549,,,0.6875,1.1197760105133057,,
,19,1599,,,0.625,1.1878174543380737,,
,19,1619,,,,,0.10493826866149902,7.401708602905273
,20,1649,,,0.75,1.0706132650375366,,
,20,1699,,,0.5625,1.3869116306304932,,
,20,1700,,,,,0.09876543283462524,7.458271503448486
,21,1749,,,0.625,1.0536823272705078,,
,21,1781,,,,,0.09259258955717087,8.298880577087402
,22,1799,,,0.8125,0.6687137484550476,,
,22,1849,,,0.875,0.8312276005744934,,
,22,1862,,,,,0.11419752985239029,9.101815223693848
,23,1899,,,0.8125,0.5532964468002319,,
,23,1943,,,,,0.0833333358168602,9.707862854003906
,24,1949,,,0.8125,0.9029861688613892,,
,24,1999,,,0.6875,2.2911102771759033,,
,24,2024,,,,,0.07716049253940582,10.556775093078613
,25,2049,,,0.75,0.8095269799232483,,
,25,2099,,,0.6875,1.019986629486084,,
,25,2105,,,,,0.11419752985239029,10.874341011047363
,26,2149,,,0.5,1.3647956848144531,,
,26,2186,,,,,0.09876543283462524,11.056229591369629
,27,2199,,,0.8125,0.9780434370040894,,
,27,2249,,,0.6875,1.58550226688385,,
,27,2267,,,,,0.10802469402551651,10.761924743652344
,28,2299,,,0.8125,0.9917234778404236,,
,28,2348,,,,,0.10185185074806213,11.531633377075195
,29,2349,,,0.75,1.0638314485549927,,
,29,2399,,,0.8125,0.8917790651321411,,
,29,2429,,,,,0.09876543283462524,12.887121200561523
,30,2449,,,0.625,1.3087900876998901,,
,30,2499,,,0.6875,0.7149947285652161,,
,30,2510,,,,,0.1111111119389534,12.942819595336914
,31,2549,,,0.6875,1.1238977909088135,,
,31,2591,,,,,0.09259258955717087,14.994293212890625
,32,2599,,,0.6875,0.7722405195236206,,
,32,2649,,,0.8125,0.929697573184967,,
,32,2672,,,,,0.10493826866149902,14.375846862792969
,33,2699,,,0.8125,3.6264026165008545,,
,33,2749,,,0.625,1.2653814554214478,,
,33,2753,,,,,0.10493826866149902,13.933073997497559
,34,2799,,,0.75,0.9451723098754883,,
,34,2834,,,,,0.1111111119389534,14.861512184143066
,35,2849,,,0.9375,0.37303200364112854,,
,35,2899,,,0.9375,0.26277148723602295,,
,35,2915,,,,,0.07716049253940582,16.524948120117188
,36,2949,,,0.8125,0.6688444018363953,,
,36,2996,,,,,0.09259258955717087,14.620316505432129
,37,2999,,,0.8125,0.41090449690818787,,
,37,3049,,,0.875,0.4904530942440033,,
,37,3077,,,,,0.11728394776582718,14.170656204223633
,38,3099,,,0.6875,1.2258186340332031,,
,38,3149,,,0.75,0.7661402225494385,,
,38,3158,,,,,0.11419752985239029,15.067255020141602
