epoch,step,train_acc,train_loss,val_acc,val_loss
0,49,0.125,2.6781792640686035,,
0,80,,,0.07407407462596893,2.7063467502593994
1,99,0.125,2.694754123687744,,
1,149,0.1875,2.6483564376831055,,
1,161,,,0.12345679104328156,2.700404167175293
