Final Accuracy,epoch,step,test_acc,test_loss,train_acc,train_loss,val_acc,val_loss
,0,49,,,0.0625,2.7607650756835938,,
,0,81,,,,,0.08562690764665604,2.7126965522766113
,1,99,,,0.1875,2.6650190353393555,,
,1,149,,,0.1875,2.6335833072662354,,
,1,163,,,,,0.0917431190609932,2.7473692893981934
,2,199,,,0.125,2.6849350929260254,,
,2,245,,,,,0.09480122476816177,2.7198901176452637
,3,249,,,0.25,2.5280609130859375,,
,3,299,,,0.1875,2.349515438079834,,
,3,327,,,,,0.08562690764665604,2.817984104156494
,4,349,,,0.4375,2.0661134719848633,,
,4,399,,,0.0,2.5836031436920166,,
,4,409,,,,,0.11926605552434921,2.8552236557006836
0.22473974525928497,5,410,0.22473974525928497,2.445152759552002,,,,
